StatNam;StatusNr;DEN;n;arithMSEL;arithMLasMax;arithMLasMaxCalc
Frankfurt/Gallus;-88;D;4;NA;68,25;64,55
Frankfurt/Gallus;-64;D;2;NA;64;63,45
Frankfurt/Gallus;-62;D;11;NA;67,5454545454545;68,0545454545454
Frankfurt/Gallus;-62;E;4;NA;66;65,65
Frankfurt/Gallus;-56;E;1;NA;77;70,7
Frankfurt/Gallus;-54;D;39;NA;60,025641025641;59,7666666666667
Frankfurt/Gallus;-54;E;12;NA;59,4166666666667;49,2666666666667
Frankfurt/Gallus;-54;N;1;NA;57;-1
Frankfurt/Gallus;-52;D;2;NA;62,5;60,3
Frankfurt/Gallus;-52;E;3;NA;65;67,8666666666667
Frankfurt/Gallus;-51;D;8;NA;78;66,825
Frankfurt/Gallus;-43;D;2;NA;0;72,4
Frankfurt/Gallus;-41;D;344;NA;0;70,6773255813954
Frankfurt/Gallus;-41;E;11;NA;0;71,3727272727273
Frankfurt/Gallus;0;D;1779;81,0230803822372;70,3395165823496;71,3193367060146
Frankfurt/Gallus;0;E;597;80,4109212730318;69,3551088777219;71,377554438861
Frankfurt/Gallus;0;N;17;78,1558823529412;67,3529411764706;62,2882352941176
Hanau/Steinheim 1;-88;D;649;NA;62,8012326656394;58,3731895223421
Hanau/Steinheim 1;-88;E;199;NA;61,3467336683417;58,7773869346734
Hanau/Steinheim 1;-88;N;26;NA;63,5769230769231;59,5807692307692
Hanau/Steinheim 1;-64;D;407;NA;60,6732186732187;58,3154791154791
Hanau/Steinheim 1;-64;E;143;NA;59,5384615384615;58,7517482517483
Hanau/Steinheim 1;-64;N;15;NA;59;58,5733333333333
Hanau/Steinheim 1;-63;D;82;NA;62,5;58,4390243902439
Hanau/Steinheim 1;-63;E;26;NA;61,0769230769231;59,0846153846154
Hanau/Steinheim 1;-63;N;1;NA;62;61,2
Hanau/Steinheim 1;-62;D;737;NA;60,5481682496608;58,0062415196744
Hanau/Steinheim 1;-62;E;216;NA;59,2083333333333;57,9509259259259
Hanau/Steinheim 1;-62;N;37;NA;59;58,6945945945946
Hanau/Steinheim 1;-61;D;74;NA;62,7702702702703;56,5567567567568
Hanau/Steinheim 1;-61;E;24;NA;61,4583333333333;57,725
Hanau/Steinheim 1;-61;N;5;NA;62,6;59,02
Hanau/Steinheim 1;-56;D;90;NA;70;60,1344444444444
Hanau/Steinheim 1;-56;E;24;NA;69,875;60,3833333333333
Hanau/Steinheim 1;-56;N;1;NA;63;61,8
Hanau/Steinheim 1;-54;D;2057;NA;58,6081672338357;58,4716091395236
Hanau/Steinheim 1;-54;E;506;NA;57,8201581027668;58,7446640316206
Hanau/Steinheim 1;-54;N;158;NA;58,126582278481;59,6626582278481
Hanau/Steinheim 1;-53;N;23;NA;61,5217391304348;59,9739130434783
Hanau/Steinheim 1;-52;D;626;NA;60,297124600639;59,3309904153355
Hanau/Steinheim 1;-52;E;211;NA;58,8056872037915;59,5582938388626
Hanau/Steinheim 1;-52;N;117;NA;59,982905982906;59,5008547008547
Hanau/Steinheim 1;-51;D;1037;NA;53,420443587271;57,2085824493732
Hanau/Steinheim 1;-51;E;433;NA;53,3048498845266;58,6152424942263
Hanau/Steinheim 1;-51;N;99;NA;51,9292929292929;57,1939393939394
Hanau/Steinheim 1;-43;D;849;NA;0;59,4234393404005
Hanau/Steinheim 1;-43;E;285;NA;0;58,8908771929825
Hanau/Steinheim 1;-43;N;20;NA;0;57,3
Hanau/Steinheim 1;-41;D;586;NA;0;59,5889078498294
Hanau/Steinheim 1;-41;E;48;NA;0;58,0166666666667
Hanau/Steinheim 1;-41;N;101;NA;0;60,3366336633663
Hanau/Steinheim 1;0;D;13465;74,5155803936131;63,4561455625696;59,7467434088377
Hanau/Steinheim 1;0;E;5002;73,0113294682127;61,8894442223111;59,6860855657737
Hanau/Steinheim 1;0;N;1001;74,2058541458541;62,1328671328671;60,2406593406593
Mainz/Universitätsmedizin;-88;D;93;NA;66,4193548387097;61,9806451612903
Mainz/Universitätsmedizin;-88;E;42;NA;66,6428571428571;62,0428571428571
Mainz/Universitätsmedizin;-88;N;11;NA;65;61,4818181818182
Mainz/Universitätsmedizin;-64;D;20;NA;64,6;61,335
Mainz/Universitätsmedizin;-64;E;9;NA;64,6666666666667;62,2333333333333
Mainz/Universitätsmedizin;-64;N;1;NA;64;63,1
Mainz/Universitätsmedizin;-62;D;25;NA;62,72;62,36
Mainz/Universitätsmedizin;-62;E;24;NA;61,8333333333333;59,0083333333333
Mainz/Universitätsmedizin;-62;N;4;NA;63,25;63,8
Mainz/Universitätsmedizin;-61;E;1;NA;69;63,1
Mainz/Universitätsmedizin;-56;D;1;NA;75;63,2
Mainz/Universitätsmedizin;-56;N;1;NA;73;65,7
Mainz/Universitätsmedizin;-54;D;1976;NA;61,1745951417004;62,060475708502
Mainz/Universitätsmedizin;-54;E;1229;NA;60,7860048820179;62,2803905614321
Mainz/Universitätsmedizin;-54;N;202;NA;59,9059405940594;62,7717821782178
Mainz/Universitätsmedizin;-52;D;47;NA;63,9574468085106;64,263829787234
Mainz/Universitätsmedizin;-52;E;17;NA;63,8823529411765;62,7235294117647
Mainz/Universitätsmedizin;-52;N;18;NA;63,3888888888889;63,6388888888889
Mainz/Universitätsmedizin;-51;D;17;NA;69,8823529411765;59,9176470588235
Mainz/Universitätsmedizin;-51;E;16;NA;65,6875;57,64375
Mainz/Universitätsmedizin;-51;N;9;NA;67,7777777777778;56,6888888888889
Mainz/Universitätsmedizin;-43;D;6;NA;0;58,55
Mainz/Universitätsmedizin;-43;E;4;NA;0;50,7
Mainz/Universitätsmedizin;-43;N;3;NA;0;64,2666666666667
Mainz/Universitätsmedizin;-41;D;3282;NA;0;62,4122790981109
Mainz/Universitätsmedizin;-41;E;194;NA;0;62,6201030927835
Mainz/Universitätsmedizin;-41;N;16;NA;0;64,55
Mainz/Universitätsmedizin;0;D;707;75,8398161244696;65,3253182461103;62,9415841584158
Mainz/Universitätsmedizin;0;E;297;75,0686195286195;64,8181818181818;63,0646464646465
Mainz/Universitätsmedizin;0;N;223;75,5358744394619;64,3363228699552;63,4941704035874
Rodgau;-88;D;71;NA;63,3661971830986;58,7225352112676
Rodgau;-88;E;22;NA;64,3181818181818;57,5227272727273
Rodgau;-88;N;2;NA;65,5;61,75
Rodgau;-64;D;4;NA;64;58,675
Rodgau;-64;E;2;NA;65,5;62
Rodgau;-62;D;12;NA;60,0833333333333;61,3083333333333
Rodgau;-62;E;3;NA;62,3333333333333;40,5
Rodgau;-62;N;1;NA;55;58,7
Rodgau;-56;D;3;NA;73,6666666666667;60,6666666666667
Rodgau;-56;E;5;NA;73,4;58,98
Rodgau;-54;D;686;NA;59,067055393586;60,9723032069971
Rodgau;-54;E;377;NA;59,1883289124668;59,1400530503979
Rodgau;-54;N;242;NA;59,0454545454545;59,0202479338843
Rodgau;-52;D;70;NA;61,1285714285714;63,1357142857143
Rodgau;-52;E;25;NA;62,12;63,044
Rodgau;-52;N;10;NA;61,2;63,19
Rodgau;-51;D;39;NA;54,6153846153846;52,6897435897436
Rodgau;-51;E;14;NA;52,3571428571429;52,3142857142857
Rodgau;-51;N;13;NA;53,5384615384615;58,5384615384615
Rodgau;-43;D;17;NA;0;59,1058823529412
Rodgau;-43;E;1;NA;0;66,3
Rodgau;-41;D;129;NA;0;61,8255813953488
Rodgau;-41;E;30;NA;0;57,92
Rodgau;-41;N;33;NA;0;58,5
Rodgau;0;D;689;74,2435558780842;63,2539912917271;63,4140783744557
Rodgau;0;E;206;75,0514077669903;63,5970873786408;62,5723300970874
Rodgau;0;N;164;75,1837195121951;63,640243902439;61,015243902439
Wiesbaden/Erbenheim;-88;D;158;NA;63,5949367088608;54,8158227848101
Wiesbaden/Erbenheim;-88;E;38;NA;60,8421052631579;54,4921052631579
Wiesbaden/Erbenheim;-88;N;3;NA;62,6666666666667;56,6333333333333
Wiesbaden/Erbenheim;-64;D;31;NA;59,9354838709677;55
Wiesbaden/Erbenheim;-64;E;9;NA;61,6666666666667;56,8444444444444
Wiesbaden/Erbenheim;-62;D;36;NA;61,25;52,3666666666667
Wiesbaden/Erbenheim;-62;E;11;NA;59,2727272727273;51,8727272727273
Wiesbaden/Erbenheim;-56;D;17;NA;71,5882352941177;58,6352941176471
Wiesbaden/Erbenheim;-56;E;2;NA;74,5;59,75
Wiesbaden/Erbenheim;-54;D;380;NA;57,3736842105263;54,9852631578947
Wiesbaden/Erbenheim;-54;E;83;NA;57,2650602409639;55,8192771084337
Wiesbaden/Erbenheim;-54;N;31;NA;57,9032258064516;52,7
Wiesbaden/Erbenheim;-52;D;32;NA;59,96875;59,99375
Wiesbaden/Erbenheim;-52;E;11;NA;59,9090909090909;53,4
Wiesbaden/Erbenheim;-52;N;10;NA;59,6;60,83
Wiesbaden/Erbenheim;-51;D;265;NA;53,9622641509434;52,5505660377358
Wiesbaden/Erbenheim;-51;E;88;NA;52,9772727272727;51,9863636363636
Wiesbaden/Erbenheim;-51;N;13;NA;50,8461538461538;39,1923076923077
Wiesbaden/Erbenheim;-43;D;39;NA;0;56,6435897435897
Wiesbaden/Erbenheim;-43;E;10;NA;0;56,1
Wiesbaden/Erbenheim;-43;N;6;NA;0;62,4333333333333
Wiesbaden/Erbenheim;-41;D;39;NA;0;55,8923076923077
Wiesbaden/Erbenheim;-41;E;9;NA;0;59,9111111111111
Wiesbaden/Erbenheim;-41;N;1;NA;0;53,3
Wiesbaden/Erbenheim;0;D;464;74,57875;63,75;61,5950431034483
Wiesbaden/Erbenheim;0;E;181;75,8756906077348;64,4364640883978;62,3403314917127
Wiesbaden/Erbenheim;0;N;76;77,4430263157895;65,9078947368421;63,8947368421053
